Variable,Description,Variable_Segment
LoanKey,Unique key for each loan. This is the same key that is used in the API. ,Unique_ids
TotalProsperLoans,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans. ,Gen_Info
TotalProsperPaymentsBilled,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.,Gen_Info
OnTimeProsperPayments,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.,Gen_Info
ProsperPaymentsLessThanOneMonthLate,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans. ,Gen_Info
ProsperPaymentsOneMonthPlusLate,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.,Gen_Info
ProsperPrincipalBorrowed,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,Gen_Info
ProsperPrincipalOutstanding,Principal outstanding on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.,Gen_Info
ScorexChangeAtTimeOfListing,Borrower's credit score change at the time the credit profile was pulled. This will be the change relative to the borrower's last Prosper loan. This value will be null if the borrower had no prior loans.,Gen_Info
LoanCurrentDaysDelinquent,The number of days delinquent. ,Loan_Info
LoanFirstDefaultedCycleNumber,The cycle the loan was charged off. If the loan has not charged off the value will be null. ,Loan_Info
LoanMonthsSinceOrigination,Number of months since the loan originated.,Loan_Info
LoanNumber,Unique numeric value associated with the loan.,Unique_ids
LoanOriginalAmount,The origination amount of the loan.,Loan_Info
LoanOriginationDate,The date the loan was originated.,Loan_Info
LoanOriginationQuarter,The quarter in which the loan was originated.,Loan_Info
MemberKey,The unique key that is associated with the borrower. This is the same identifier that is used in the API member object. ,Unique_ids
MonthlyLoanPayment,The scheduled monthly loan payment.,Loan_Info
LP_CustomerPayments,"Pre charge-off cumulative gross payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",Loan_Info
LP_CustomerPrincipalPayments,"Pre charge-off cumulative principal payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries.",Loan_Info
LP_InterestandFees,"Pre charge-off cumulative interest and fees paid by the borrower. If the loan has charged off, this value will exclude any recoveries.",Loan_Info
LP_ServiceFees,Cumulative service fees paid by the investors who have invested in the loan. ,Loan_Info
LP_CollectionFees,Cumulative collection fees paid by the investors who have invested in the loan.,Loan_Info
LP_GrossPrincipalLoss,The gross charged off amount of the loan.,Loan_Info
LP_NetPrincipalLoss,The principal that remains uncollected after any recoveries.,Loan_Info
LP_NonPrincipalRecoverypayments,"The interest and fee component of any recovery payments. The current payment policy applies payments in the following order: Fees, interest, principal.",Loan_Info
PercentFunded,Percent the listing was funded.,Loan_Info
Recommendations,Number of recommendations the borrower had at the time the listing was created.,Gen_Info
InvestmentFromFriendsCount,Number of friends that made an investment in the loan.,Loan_Info
InvestmentFromFriendsAmount,Dollar amount of investments that were made by friends.,Loan_Info
Investors,The number of investors that funded the loan.,Loan_Info
